Tundra Swan (<em class="sci">Cygnus columbianus</em>)	0.0	0.0	0.0416667	0.0	0.0	0.0588235	0.015625	0.0	0.0275229	0.0292398	0.0416667	0.0273556	0.0223325	0.0	0.0	0.0	0.0	0.0018904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0384615	0.1594203	0.1299213	0.0068966	0.0076336	0.0124224	0.0757576	0.0625	0.0909091	0.0540541	0.05
Trumpeter/Tundra Swan (<em class="sci">Cygnus buccinator/columbianus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.03125	0.0	0.0183486	0.0	0.0	0.0030395	0.0	0.0027248	0.0041237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003937	0.0	0.0015	0.0062112	0.0151515	0.0	0.0	0.0	0.0
swan sp. (<em class="sci">Cygnus sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0030395	0.0	0.0	0.0	0.0011062	0.0	0.0018904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0097087	0.0	0.0	0.0	0.0	0.0	0.0	0.0064103	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05
goose sp. (<em class="sci">Anatidae (goose sp.)</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.015625	0.0	0.0	0.0	0.0041667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1
Wood Duck (<em class="sci">Aix sponsa</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.046875	0.0298507	0.0275229	0.122807	0.2	0.2674772	0.4640199	0.4659401	0.3793814	0.4048673	0.3467095	0.442344	0.4608295	0.4543081	0.5630252	0.4102564	0.5952381	0.5	0.5686275	0.6140351	0.5142857	0.552381	0.6434783	0.6428571	0.7087379	0.66875	0.6186441	0.7671233	0.7184466	0.7096774	0.6354167	0.5064103	0.2270531	0.1771654	0.1172414	0.0458015	0.0062112	0.0075758	0.0208333	0.0	0.0	0.0
Blue-winged Teal (<em class="sci">Spatula discors</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0701754	0.2416667	0.5319149	0.8312655	0.9100817	0.8865979	0.9103982	0.8812199	0.7448015	0.7603687	0.7154047	0.6218487	0.3717949	0.2619048	0.26	0.1960784	0.122807	0.2714286	0.2285714	0.2956522	0.2857143	0.3398058	0.3875	0.4067797	0.5479452	0.5533981	0.5419355	0.6041667	0.5	0.3381643	0.1732283	0.1310345	0.0076336	0.0	0.0075758	0.0	0.0	0.0	0.0
Cinnamon Teal (<em class="sci">Spatula cyanoptera</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Blue-winged x Cinnamon Teal (hybrid) (<em class="sci">Spatula discors x cyanoptera</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Northern Shoveler (<em class="sci">Spatula clypeata</em>)	0.1142857	0.1428571	0.1666667	0.3103448	0.0769231	0.1176471	0.15625	0.3283582	0.6238532	0.6666667	0.9	0.9209726	0.9478908	0.9346049	0.9113402	0.9325221	0.8780096	0.7277883	0.6198157	0.3759791	0.0588235	0.0128205	0.047619	0.04	0.0588235	0.0175439	0.0	0.0015	0.0086957	0.0238095	0.0582524	0.13125	0.1779661	0.4794521	0.5728155	0.5935484	0.8020833	0.9230769	0.8067633	0.8464567	0.937931	0.9389313	0.9130435	0.8030303	0.625	0.5909091	0.2432432	0.4
Gadwall (<em class="sci">Mareca strepera</em>)	0.0285714	0.0	0.0	0.0344828	0.1538462	0.0	0.03125	0.0447761	0.1559633	0.1403509	0.3416667	0.3829787	0.3846154	0.4495913	0.2886598	0.3196903	0.2552167	0.2041588	0.2511521	0.0704961	0.0084034	0.025641	0.0238095	0.02	0.0	0.0350877	0.0	0.0095238	0.0	0.0119048	0.0097087	0.0125	0.0169492	0.0684932	0.0776699	0.1935484	0.4375	0.6153846	0.7149758	0.7007874	0.7931034	0.7938931	0.7888199	0.6666667	0.4583333	0.2727273	0.1081081	0.25
